abone_id,yas,cinsiyet,aylik_gelir,harcama,sehir,egitim
abone81,60,kadin,10747,Sağlık,Malatya,lisans
abone82,38,erkek,14828,Eğitim,Konya,lise
abone83,19,erkek,3000,Gıda,Manisa,lisans
abone84,50,erkek,4138,Eğlence,Diyarbakır,lise
abone85,66,erkek,9414,Giyim,Izmir,lisans
abone86,41,kadin,10348,Ev Giderleri,Manisa,lise
abone87,69,erkek,10559,Gıda,Ankara,lise
abone88,57,erkek,7368,Ev Giderleri,Konya,lise
abone89,32,erkek,12062,Ev Giderleri,Trabzon,lise
abone90,19,erkek,12154,Diğer,Samsun,lisans
abone91,40,erkek,11664,Sağlık,Denizli,lise
abone92,31,erkek,11554,Giyim,Adana,ortaokul
abone93,35,erkek,6731,Ulaşım,Adana,lisans
abone94,39,erkek,6112,Eğitim,Trabzon,lisans
abone95,66,kadin,9699,Eğitim,Antalya,ortaokul
abone96,50,erkek,8631,Eğitim,Bursa,lise
abone97,38,kadin,11903,Giyim,Sivas,lise
abone98,37,erkek,8794,Giyim,Şanlıurfa,lisans
abone99,57,kadin,6125,Ev Giderleri,Manisa,lisans
abone100,32,erkek,6609,Eğitim,Samsun,ortaokul
abone101,68,erkek,12815,Gıda,Izmir,lisans
abone102,20,kadin,13031,Eğitim,Gaziantep,doktora
abone103,70,kadin,10671,Diğer,Antalya,yuksek lisans
abone104,23,kadin,10812,Eğitim,Adana,lise
abone105,51,erkek,8069,Eğlence,Diyarbakır,lisans
abone106,60,erkek,13303,Diğer,Kahramanmaraş,lisans
abone107,55,erkek,5112,Ulaşım,Balıkesir,lisans
abone108,36,kadin,11825,Diğer,Izmir,ortaokul
abone109,44,erkek,10540,Ev Giderleri,Ankara,yuksek lisans
abone110,54,erkek,7874,Ulaşım,Samsun,lisans
abone111,69,kadin,11864,Diğer,Konya,ortaokul
abone112,60,erkek,7490,Diğer,Kahramanmaraş,lisans
abone113,55,erkek,3000,Ulaşım,Manisa,ilkokul
abone114,19,erkek,11287,Eğitim,Konya,lise
abone115,57,erkek,9857,Eğlence,Kahramanmaraş,lisans
abone116,50,erkek,17309,Gıda,Sivas,lisans
abone117,42,kadin,10999,Ev Giderleri,Kocaeli,lise
abone118,53,erkek,9490,Diğer,Bursa,doktora
abone119,40,kadin,3000,Diğer,Manisa,ilkokul
abone120,50,kadin,11248,Gıda,Sivas,ortaokul
abone121,50,erkek,7007,Sağlık,Kocaeli,lise
abone122,54,erkek,11030,Gıda,Kocaeli,ortaokul
abone123,21,erkek,3000,Eğitim,Kocaeli,lisans
abone124,62,kadin,13563,Sağlık,Trabzon,lisans
abone125,69,kadin,12778,Sağlık,Şanlıurfa,ortaokul
abone126,19,erkek,7896,Gıda,Kahramanmaraş,lise
abone127,54,erkek,9549,Giyim,Antalya,yuksek lisans
abone128,52,kadin,11961,Gıda,Malatya,lisans
abone129,55,kadin,8870,Gıda,Adana,ortaokul
abone130,50,kadin,3000,Sağlık,Diyarbakır,yuksek lisans
abone131,42,kadin,12401,Giyim,Trabzon,lise
abone132,66,kadin,8868,Ev Giderleri,Gaziantep,lise
abone133,21,kadin,6930,Ulaşım,Malatya,lisans
abone134,35,erkek,3000,Giyim,Ankara,lisans
abone135,23,kadin,6820,Ev Giderleri,Adana,lisans
abone136,44,erkek,3000,Ulaşım,Şanlıurfa,doktora
abone137,21,kadin,10143,Giyim,Diyarbakır,ortaokul
abone138,64,kadin,8259,Eğitim,Samsun,lise
abone139,23,erkek,10021,Sağlık,Samsun,lisans
abone140,32,kadin,4027,Eğitim,Manisa,lisans
abone141,70,kadin,3439,Gıda,Adana,lisans
abone142,64,erkek,11098,Giyim,Manisa,lisans
abone143,59,erkek,7724,Sağlık,Malatya,lise
abone144,53,kadin,15963,Ulaşım,Ankara,lise
abone145,44,erkek,10849,Eğlence,Manisa,ortaokul
abone146,23,kadin,17432,Ulaşım,Kocaeli,lise
abone147,23,erkek,8188,Sağlık,Kocaeli,lisans
abone148,35,kadin,10373,Eğlence,Konya,lisans
abone149,37,erkek,3000,Ev Giderleri,Izmir,lisans
abone150,45,kadin,14469,Ev Giderleri,Ankara,lisans
abone151,44,kadin,12605,Eğitim,Ankara,lisans
abone152,40,erkek,4435,Sağlık,Bursa,lise
abone153,47,erkek,6326,Eğitim,Denizli,doktora
abone154,43,erkek,9015,Diğer,Diyarbakır,lise
abone155,35,kadin,7062,Sağlık,Bursa,yuksek lisans
abone156,42,erkek,7089,Eğlence,Malatya,lisans
abone157,43,erkek,7489,Eğlence,Kocaeli,lisans
abone158,45,kadin,6538,Diğer,Antalya,lise
abone159,59,erkek,8083,Eğitim,Bursa,lisans
abone160,42,kadin,12424,Ulaşım,Kahramanmaraş,ortaokul
abone161,29,erkek,6623,Ev Giderleri,Manisa,lise
abone162,60,erkek,5016,Ev Giderleri,Manisa,lise
abone163,66,erkek,3000,Giyim,Malatya,lisans
abone164,44,kadin,3000,Ev Giderleri,Bursa,lise
abone165,28,kadin,8143,Eğlence,Denizli,lisans
abone166,23,kadin,9545,Ev Giderleri,Trabzon,ortaokul
abone167,23,erkek,6941,Eğitim,Balıkesir,lisans
abone168,65,erkek,9479,Giyim,Antalya,lisans
abone169,41,erkek,12965,Eğitim,Denizli,lisans
abone170,33,kadin,12952,Ulaşım,Trabzon,ortaokul
abone171,56,kadin,12600,Eğlence,Denizli,lisans
abone172,64,kadin,10402,Eğitim,Antalya,lise
abone173,31,erkek,8198,Ulaşım,Adana,lisans
abone174,66,kadin,7674,Ulaşım,Kahramanmaraş,lise
abone175,49,erkek,6553,Ulaşım,Ankara,yuksek lisans
abone176,44,kadin,11473,Ulaşım,Antalya,lise
abone177,65,erkek,9847,Eğlence,Adana,lisans
abone178,63,erkek,10918,Gıda,Şanlıurfa,lise
abone179,55,kadin,6961,Eğlence,Ankara,lisans
abone180,37,erkek,12371,Sağlık,Bursa,lise
abone181,44,erkek,4823,Eğitim,Izmir,ortaokul
abone182,25,kadin,3000,Ulaşım,Manisa,lisans
abone183,69,erkek,8409,Diğer,Sivas,ilkokul
abone184,24,kadin,12400,Ev Giderleri,Istanbul,yuksek lisans
abone185,30,kadin,12536,Giyim,Samsun,lise
abone186,20,kadin,17711,Diğer,Konya,doktora
abone187,22,kadin,3000,Ev Giderleri,Kocaeli,lisans
abone188,56,erkek,13445,Giyim,Denizli,lisans
abone189,33,kadin,15522,Sağlık,Antalya,lisans
abone190,25,erkek,8023,Ev Giderleri,Izmir,lisans
abone191,19,kadin,12556,Ev Giderleri,Samsun,lisans
abone192,49,erkek,15981,Ev Giderleri,Samsun,lise
abone193,69,erkek,11564,Gıda,Denizli,lise
abone194,18,kadin,8067,Gıda,Ankara,lisans
abone195,58,erkek,13994,Eğlence,Kahramanmaraş,lise
abone196,59,erkek,11504,Ulaşım,Manisa,lisans
abone197,63,erkek,7203,Ev Giderleri,Balıkesir,lise
abone198,46,erkek,4272,Sağlık,Mersin,lisans
abone199,63,erkek,7288,Sağlık,Trabzon,lisans
abone200,37,kadin,3373,Eğitim,Balıkesir,lisans
abone201,44,kadin,8820,Sağlık,Gaziantep,doktora
abone202,57,erkek,6834,Diğer,Trabzon,lise
abone203,21,kadin,10326,Ev Giderleri,Ankara,lisans
abone204,63,erkek,6080,Diğer,Ankara,lisans
abone205,23,kadin,7755,Eğitim,Kocaeli,lisans
abone206,53,kadin,11423,Sağlık,Kocaeli,ilkokul
abone207,65,erkek,7696,Gıda,Istanbul,lisans
abone208,44,kadin,4848,Ulaşım,Sivas,lise
abone209,22,kadin,3000,Giyim,Antalya,lisans
abone210,59,kadin,8692,Eğlence,Adana,lisans
abone211,47,kadin,8750,Diğer,Ankara,lisans
abone212,50,erkek,10206,Eğlence,Antalya,yuksek lisans
abone213,65,erkek,8317,Giyim,Istanbul,lise
abone214,38,erkek,4016,Ulaşım,Izmir,doktora
abone215,40,erkek,9271,Eğitim,Ankara,lise
abone216,44,kadin,5269,Ulaşım,Adana,lisans
abone217,18,kadin,5182,Eğitim,Kahramanmaraş,ortaokul
abone218,20,erkek,8134,Giyim,Sivas,lise
abone219,35,kadin,9904,Sağlık,Izmir,doktora
abone220,65,kadin,12023,Giyim,Diyarbakır,lise
abone221,58,kadin,11781,Ulaşım,Ankara,yuksek lisans
abone222,61,erkek,7445,Ev Giderleri,Malatya,yuksek lisans
abone223,41,erkek,14255,Eğitim,Diyarbakır,lisans
abone224,31,kadin,6661,Ev Giderleri,Denizli,lise
abone225,50,erkek,5689,Eğitim,Bursa,ortaokul
abone226,40,erkek,12578,Diğer,Adana,lise
abone227,64,erkek,3520,Diğer,Balıkesir,lise
abone228,52,kadin,9670,Ulaşım,Istanbul,lisans
abone229,33,erkek,3000,Ev Giderleri,Gaziantep,lisans
abone230,21,erkek,7562,Ulaşım,Trabzon,lise
abone231,39,kadin,8029,Eğitim,Konya,lisans
abone232,18,kadin,11341,Ev Giderleri,Malatya,lisans
abone233,47,erkek,6600,Diğer,Izmir,lisans
abone234,29,kadin,14010,Ulaşım,Balıkesir,ilkokul
abone235,42,erkek,15398,Ev Giderleri,Ankara,lise
abone236,66,kadin,8930,Diğer,Antalya,lise
abone237,28,erkek,12995,Eğitim,Şanlıurfa,ortaokul
abone238,59,kadin,8246,Sağlık,Trabzon,lise
abone239,27,kadin,7869,Gıda,Kocaeli,lise
abone240,18,kadin,7576,Eğitim,Balıkesir,lisans
abone241,54,erkek,8057,Ulaşım,Istanbul,lisans
abone242,62,erkek,3000,Eğitim,Kahramanmaraş,lisans
abone243,18,kadin,17899,Gıda,Şanlıurfa,lisans
abone244,63,erkek,10108,Giyim,Konya,lisans
abone245,38,erkek,3000,Eğlence,Manisa,ortaokul
abone246,42,erkek,11880,Ulaşım,Izmir,lise
abone247,18,erkek,8237,Eğitim,Bursa,lisans
abone248,66,kadin,9449,Gıda,Gaziantep,lisans
abone249,40,kadin,3000,Gıda,Samsun,lise
abone250,40,kadin,11930,Giyim,Malatya,doktora
abone251,44,erkek,12845,Ulaşım,Kahramanmaraş,lisans
abone252,57,kadin,12150,Gıda,Kocaeli,doktora
abone253,61,kadin,5527,Diğer,Kocaeli,lisans
abone254,52,kadin,5928,Giyim,Denizli,yuksek lisans
abone255,70,erkek,4629,Eğlence,Trabzon,lisans
abone256,49,erkek,3557,Ulaşım,Manisa,lisans
abone257,35,erkek,6534,Sağlık,Antalya,ilkokul
abone258,65,kadin,15325,Gıda,Şanlıurfa,lisans
abone259,38,kadin,19350,Sağlık,Manisa,lisans
abone260,53,erkek,15408,Eğitim,Bursa,ortaokul
abone261,38,kadin,13080,Gıda,Malatya,ortaokul
abone262,49,kadin,4583,Giyim,Istanbul,ilkokul
abone263,38,kadin,13161,Giyim,Şanlıurfa,lisans
abone264,36,erkek,11449,Sağlık,Kahramanmaraş,lisans
abone265,41,erkek,12446,Ev Giderleri,Diyarbakır,yuksek lisans
abone266,18,erkek,3000,Diğer,Antalya,yuksek lisans
abone267,21,erkek,13912,Eğitim,Antalya,yuksek lisans
abone268,63,erkek,10495,Ev Giderleri,Adana,ilkokul
abone269,23,kadin,11188,Sağlık,Mersin,doktora
abone270,22,erkek,17555,Eğlence,Istanbul,lise
abone271,20,erkek,14809,Ev Giderleri,Bursa,lise
abone272,58,erkek,14162,Ulaşım,Samsun,yuksek lisans
abone273,28,erkek,5928,Ulaşım,Gaziantep,lisans
abone274,48,erkek,5997,Ev Giderleri,Sivas,lisans
abone275,30,kadin,7319,Giyim,Adana,lise
abone276,29,erkek,7703,Sağlık,Adana,lisans
abone277,47,kadin,3460,Ev Giderleri,Sivas,ortaokul
abone278,21,erkek,11561,Gıda,Adana,lise
abone279,21,kadin,10795,Eğlence,Malatya,lisans
abone280,55,erkek,14713,Eğlence,Ankara,lisans
abone281,32,erkek,9474,Eğitim,Gaziantep,lisans
abone282,62,erkek,10233,Sağlık,Denizli,lise
abone283,57,erkek,11029,Eğitim,Diyarbakır,lise
abone284,52,kadin,10227,Ev Giderleri,Kahramanmaraş,yuksek lisans
abone285,70,kadin,11573,Sağlık,Ankara,lisans
abone286,50,erkek,13416,Gıda,Manisa,yuksek lisans
abone287,45,erkek,8860,Ev Giderleri,Ankara,lisans
abone288,23,kadin,8455,Ev Giderleri,Izmir,lise
abone289,31,kadin,5053,Diğer,Kahramanmaraş,lise
abone290,34,kadin,10689,Gıda,Trabzon,lisans
abone291,69,kadin,10741,Ulaşım,Ankara,lise
abone292,70,kadin,4498,Ev Giderleri,Balıkesir,lise
abone293,31,kadin,3098,Diğer,Diyarbakır,lisans
abone294,50,kadin,3000,Eğlence,Gaziantep,lisans
abone295,31,kadin,4561,Diğer,Trabzon,lise
abone296,29,erkek,8242,Diğer,Istanbul,lisans
abone297,26,kadin,3000,Diğer,Trabzon,lisans
abone298,33,kadin,9602,Eğitim,Malatya,doktora
abone299,69,kadin,5093,Giyim,Konya,lisans
abone300,35,kadin,17180,Gıda,Mersin,lisans
abone301,51,erkek,5836,Ev Giderleri,Adana,lise
abone302,46,kadin,9363,Giyim,Trabzon,ortaokul
abone303,26,erkek,9666,Gıda,Ankara,ilkokul
abone304,64,kadin,7683,Eğitim,Sivas,lisans
abone305,43,kadin,9969,Ev Giderleri,Istanbul,lisans
abone306,45,kadin,10596,Eğitim,Antalya,lise
abone307,54,kadin,3000,Giyim,Diyarbakır,lisans
abone308,36,kadin,9597,Ulaşım,Diyarbakır,lise
abone309,63,erkek,8120,Sağlık,Sivas,lise
abone310,57,erkek,8312,Sağlık,Gaziantep,lisans
abone311,65,erkek,9645,Gıda,Denizli,lisans
abone312,62,kadin,5566,Eğlence,Bursa,lise
abone313,37,kadin,3746,Diğer,Balıkesir,ortaokul
abone314,35,kadin,7316,Gıda,Izmir,lise
abone315,41,kadin,9045,Giyim,Kocaeli,lisans
abone316,22,kadin,15901,Diğer,Gaziantep,lise
abone317,50,kadin,13162,Eğitim,Sivas,lisans
abone318,61,erkek,10775,Eğitim,Balıkesir,lise
abone319,46,kadin,3494,Eğitim,Antalya,lise
abone320,52,erkek,4012,Ev Giderleri,Mersin,lise
abone321,47,kadin,9909,Sağlık,Istanbul,lise
abone322,47,kadin,4905,Eğitim,Bursa,lise
abone323,44,kadin,6830,Eğlence,Kocaeli,doktora
abone324,69,kadin,9270,Ev Giderleri,Kahramanmaraş,lise
abone325,58,erkek,8671,Ulaşım,Malatya,lisans
abone326,70,kadin,3000,Gıda,Malatya,lisans
abone327,35,kadin,3675,Gıda,Şanlıurfa,lisans
abone328,45,kadin,9791,Ev Giderleri,Antalya,lise
abone329,27,kadin,3095,Sağlık,Antalya,doktora
abone330,36,erkek,10425,Ev Giderleri,Manisa,lisans
abone331,23,kadin,3000,Eğitim,Istanbul,lisans
abone332,42,erkek,13535,Eğitim,Samsun,ortaokul
abone333,35,erkek,3863,Eğitim,Bursa,lisans
abone334,51,kadin,10205,Ulaşım,Mersin,lisans
abone335,41,erkek,7828,Diğer,Gaziantep,lisans
abone336,66,kadin,14011,Sağlık,Denizli,lisans
abone337,60,kadin,8333,Ulaşım,Trabzon,lisans
abone338,44,kadin,10660,Giyim,Sivas,lisans
abone339,58,erkek,11757,Ev Giderleri,Diyarbakır,ortaokul
abone340,34,kadin,11346,Ev Giderleri,Adana,lise
abone341,18,kadin,10012,Eğitim,Denizli,lise
abone342,57,kadin,6865,Ulaşım,Denizli,doktora
abone343,57,erkek,8755,Giyim,Diyarbakır,yuksek lisans
abone344,44,kadin,11441,Giyim,Konya,lise
abone345,64,erkek,5663,Gıda,Gaziantep,lisans
abone346,34,erkek,8801,Ulaşım,Denizli,lisans
abone347,31,kadin,4412,Ev Giderleri,Antalya,ilkokul
abone348,64,erkek,8647,Gıda,Balıkesir,lise
abone349,62,kadin,13748,Ev Giderleri,Manisa,ortaokul
abone350,55,kadin,8457,Sağlık,Şanlıurfa,lisans
abone351,52,kadin,3000,Eğlence,Konya,lise
abone352,23,erkek,3000,Ev Giderleri,Diyarbakır,ilkokul
abone353,33,kadin,8432,Eğlence,Manisa,lisans
abone354,53,erkek,10814,Gıda,Kahramanmaraş,yuksek lisans
abone355,62,kadin,11670,Sağlık,Malatya,lisans
abone356,26,erkek,14523,Giyim,Gaziantep,lisans
abone357,34,erkek,7624,Diğer,Samsun,yuksek lisans
abone358,65,erkek,3865,Gıda,Adana,lisans
abone359,51,erkek,10632,Ev Giderleri,Denizli,doktora
abone360,21,kadin,12633,Ulaşım,Bursa,lisans
abone361,45,kadin,8615,Eğlence,Mersin,lise
abone362,33,kadin,3000,Sağlık,Samsun,lisans
abone363,58,erkek,7895,Ev Giderleri,Samsun,lisans
abone364,39,erkek,11644,Ev Giderleri,Gaziantep,lisans
abone365,44,kadin,6599,Giyim,Mersin,doktora
abone366,24,erkek,13852,Ev Giderleri,Antalya,lise
abone367,42,kadin,9868,Gıda,Istanbul,ortaokul
abone368,56,erkek,7472,Gıda,Malatya,lisans
abone369,27,kadin,11864,Giyim,Kahramanmaraş,ortaokul
abone370,47,kadin,9387,Eğlence,Kahramanmaraş,lise
abone371,57,erkek,21492,Giyim,Denizli,lisans
abone372,30,erkek,9472,Sağlık,Kocaeli,lise
abone373,36,kadin,10173,Eğlence,Mersin,lisans
abone374,25,kadin,8864,Ulaşım,Şanlıurfa,lisans
abone375,57,erkek,11707,Sağlık,Kahramanmaraş,yuksek lisans
abone376,30,erkek,11783,Eğlence,Gaziantep,lisans
abone377,50,erkek,8576,Sağlık,Ankara,lisans
abone378,51,erkek,4224,Eğlence,Antalya,lisans
abone379,23,kadin,3738,Diğer,Balıkesir,ortaokul
abone380,46,erkek,15788,Eğitim,Samsun,lise
abone381,46,kadin,7572,Giyim,Malatya,lisans
abone382,52,kadin,13858,Eğitim,Konya,lise
abone383,33,erkek,10646,Eğitim,Adana,lise
abone384,47,erkek,8371,Ev Giderleri,Ankara,lise
abone385,52,erkek,7460,Sağlık,Bursa,lise
abone386,42,erkek,13934,Diğer,Samsun,lisans
abone387,38,erkek,13855,Ev Giderleri,Kocaeli,lisans
abone388,35,erkek,8083,Ev Giderleri,Şanlıurfa,lise
abone389,56,kadin,5560,Giyim,Denizli,lisans
abone390,29,kadin,8812,Diğer,Bursa,ortaokul
abone391,66,erkek,12897,Ev Giderleri,Manisa,lisans
abone392,26,kadin,11078,Gıda,Trabzon,lisans
abone393,42,erkek,10654,Eğitim,Gaziantep,ortaokul
abone394,68,erkek,17427,Giyim,Izmir,lise
abone395,23,erkek,11960,Eğitim,Trabzon,lisans
abone396,23,kadin,10294,Ev Giderleri,Balıkesir,lise
abone397,51,erkek,11402,Diğer,Şanlıurfa,ortaokul
abone398,45,kadin,6227,Eğlence,Mersin,lisans
abone399,53,erkek,11749,Diğer,Sivas,lise
abone400,51,kadin,7445,Ev Giderleri,Manisa,lise
abone401,19,kadin,5292,Eğlence,Bursa,yuksek lisans
abone402,58,erkek,4480,Gıda,Kocaeli,lise
abone403,61,erkek,5344,Gıda,Trabzon,ortaokul
abone404,51,kadin,16331,Eğlence,Malatya,lise
abone405,27,kadin,10348,Diğer,Kocaeli,lise
abone406,43,erkek,9417,Sağlık,Kahramanmaraş,lisans
abone407,24,kadin,13535,Ulaşım,Bursa,yuksek lisans
abone408,27,kadin,5103,Giyim,Konya,lise
abone409,37,erkek,4416,Gıda,Kocaeli,lise
abone410,28,kadin,10337,Giyim,Bursa,lisans
abone411,49,kadin,5009,Ev Giderleri,Izmir,yuksek lisans
abone412,19,kadin,5000,Sağlık,Sivas,lise
abone413,27,kadin,5086,Ev Giderleri,Balıkesir,lisans
abone414,39,erkek,3000,Ev Giderleri,Kahramanmaraş,yuksek lisans
abone415,63,kadin,3473,Diğer,Trabzon,ortaokul
abone416,20,erkek,9182,Diğer,Samsun,lise
abone417,41,kadin,5646,Ulaşım,Şanlıurfa,lisans
abone418,60,erkek,11961,Ev Giderleri,Denizli,lisans
abone419,19,erkek,7226,Giyim,Izmir,lisans
abone420,69,erkek,11101,Ev Giderleri,Kahramanmaraş,lisans
abone421,58,erkek,7336,Gıda,Adana,lisans
abone422,47,erkek,3149,Eğlence,Bursa,lise
abone423,68,erkek,12045,Eğitim,Kocaeli,lise
abone424,45,erkek,10753,Diğer,Konya,lisans
abone425,36,erkek,5732,Giyim,Malatya,lisans
abone426,25,kadin,5706,Eğitim,Trabzon,lisans
abone427,53,erkek,6383,Diğer,Konya,lise
abone428,47,erkek,12464,Gıda,Malatya,lise
abone429,26,erkek,6805,Sağlık,Kahramanmaraş,lisans
abone430,46,erkek,5461,Diğer,Samsun,ortaokul
abone431,18,kadin,7786,Diğer,Malatya,lise
abone432,51,kadin,10613,Diğer,Balıkesir,lisans
abone433,20,erkek,8220,Gıda,Samsun,ilkokul
abone434,55,kadin,13552,Eğlence,Istanbul,lisans
abone435,18,erkek,8095,Eğitim,Adana,lisans
abone436,28,kadin,12209,Gıda,Şanlıurfa,lise
abone437,47,erkek,5280,Eğitim,Balıkesir,lise
abone438,62,erkek,12752,Ev Giderleri,Mersin,lisans
abone439,29,kadin,7313,Eğitim,Konya,lisans
abone440,70,erkek,11089,Ulaşım,Adana,lise
abone441,38,erkek,13988,Eğitim,Manisa,ilkokul
abone442,70,erkek,5096,Eğlence,Konya,lisans
abone443,26,erkek,10578,Eğitim,Gaziantep,lisans
abone444,54,erkek,9253,Ulaşım,Ankara,yuksek lisans
abone445,34,kadin,11932,Ulaşım,Şanlıurfa,lisans
abone446,38,kadin,11047,Ev Giderleri,Konya,ilkokul
abone447,39,erkek,7382,Eğlence,Kahramanmaraş,ortaokul
abone448,18,erkek,9654,Ulaşım,Malatya,lisans
abone449,27,erkek,12363,Sağlık,Mersin,lisans
abone450,35,erkek,10433,Sağlık,Şanlıurfa,ortaokul
abone451,55,erkek,4797,Sağlık,Malatya,lise
abone452,62,kadin,9847,Ulaşım,Istanbul,lisans
abone453,70,erkek,16567,Eğitim,Izmir,lise
abone454,20,kadin,9302,Diğer,Balıkesir,lise
abone455,48,erkek,8731,Eğitim,Kocaeli,lise
abone456,69,erkek,9360,Ulaşım,Sivas,lise
abone457,34,erkek,5888,Ulaşım,Ankara,yuksek lisans
abone458,62,erkek,10174,Eğlence,Gaziantep,ilkokul
abone459,31,kadin,8423,Gıda,Istanbul,ilkokul
abone460,40,erkek,6549,Sağlık,Bursa,lisans
abone461,52,kadin,9369,Giyim,Malatya,yuksek lisans
abone462,44,kadin,16426,Eğlence,Bursa,lisans
abone463,48,kadin,7718,Eğlence,Istanbul,yuksek lisans
abone464,61,kadin,3080,Ulaşım,Adana,lisans
abone465,68,kadin,15806,Sağlık,Trabzon,lise
abone466,23,erkek,10544,Gıda,Adana,lise
abone467,43,kadin,3000,Diğer,Malatya,lise
abone468,24,erkek,12692,Giyim,Sivas,lise
abone469,58,kadin,3839,Giyim,Samsun,ortaokul
abone470,51,erkek,6599,Diğer,Manisa,doktora
abone471,37,kadin,9239,Ulaşım,Denizli,ortaokul
abone472,37,kadin,7820,Ulaşım,Kahramanmaraş,lise
abone473,44,erkek,9073,Gıda,Denizli,lise
